YEAR;MONTH;DAY;HOUR;TH;RAIN;RADIATION;WIND;RH
2017;1;24;5;-0.2;0;0;16;66
2017;1;24;6;0;0;0;18;65
2017;1;24;7;0;0;7;17;65
2017;1;24;8;1;0;52;21;61
2017;1;24;9;2.3;0;105;18;57
2017;1;24;10;3.4;0;142;24;53
2017;1;24;11;4.1;0;163;24;49
2017;1;24;12;4.6;0;160;21;45
2017;1;24;13;4.8;0;142;24;44
2017;1;24;14;4.1;0;95;22;49
2017;1;24;15;3.6;0;41;22;52
2017;1;24;16;2.6;0;8;23;56
2017;1;24;17;1.4;0;0;24;61
2017;1;24;18;0.7;0;0;23;64
2017;1;24;19;-0.1;0;0;22;69
2017;1;24;20;-0.5;0;0;18;73
2017;1;24;21;-0.8;0;0;18;74
2017;1;24;22;-0.9;0;0;17;75
2017;1;24;23;-1.1;0;0;16;75
2017;1;25;0;-1.7;0;0;15;75
2017;1;25;1;-1.6;0;0;12;76
2017;1;25;2;-1.5;0;0;11;77
2017;1;25;3;-1.3;0;0;10;75
2017;1;25;4;-1.6;0;0;10;75
2017;1;25;5;-1.3;0;0;8;75
2017;1;25;6;-0.8;0;0;8;74
2017;1;25;7;-0.7;0;6;9;75
2017;1;25;8;-0.4;0;23;10;75
2017;1;25;9;0.3;0;41;11;73
2017;1;25;10;0.9;0;51;12;73
2017;1;25;11;0.3;0;43;10;79
2017;1;25;12;-0.4;0;32;8;96
2017;1;25;13;0.4;0;72;9;94
2017;1;25;14;0.7;0.5;68;10;91
2017;1;25;15;0.8;1;53;10;93
2017;1;25;16;0.2;0;13;11;92
2017;1;25;17;0.3;0;0;7;90
2017;1;25;18;0.4;0;0;7;88
2017;1;25;19;-0.1;0;0;8;88
2017;1;25;20;0;0;0;6;88
2017;1;25;21;-0.1;0;0;6;87
2017;1;25;22;-0.1;0;0;4;84
2017;1;25;23;-0.1;0;0;6;82
2017;1;26;0;-0.1;0;0;5;83
2017;1;26;1;-0.1;0;0;3;83
2017;1;26;2;-0.2;0;0;4;93
2017;1;26;3;-0.2;0;0;6;94
2017;1;26;4;-0.4;0;0;11;97
2017;1;26;5;0.1;0;0;10;99
2017;1;26;6;0.2;0;0;8;100
2017;1;26;7;0.2;0;2;9;100
2017;1;26;8;0.4;0;8;7;100
2017;1;26;9;0.7;14;37;7;100
2017;1;26;10;1;1;38;9;100
2017;1;26;11;2.6;3.5;13;4;100
2017;1;26;12;3.4;4;18;4;100
2017;1;26;13;6.6;0;44;3;99
2017;1;26;14;10.6;0;18;12;68
2017;1;26;15;8.5;2.5;2;10;87
2017;1;26;16;7.5;3.5;1;11;91
2017;1;26;17;7.3;1;0;10;91
2017;1;26;18;7.2;2;0;9;91
2017;1;26;19;7.6;0;0;12;83
2017;1;26;20;8.1;0;0;13;86
2017;1;26;21;7.3;1.5;0;9;93
2017;1;26;22;7.5;1;0;6;91
2017;1;26;23;8;0;0;7;82
2017;1;27;0;8.3;0;0;10;80
2017;1;27;1;8.4;0;0;12;77
2017;1;27;2;8.6;0;0;11;77
2017;1;27;3;8.8;0;0;10;77
2017;1;27;4;9.6;0;0;8;73
2017;1;27;5;9.6;0;0;10;72
2017;1;27;6;9.5;0;0;10;72
2017;1;27;7;10.1;0;7;11;69
2017;1;27;8;10.5;0;24;11;68
2017;1;27;9;11.1;0;33;9;67
2017;1;27;10;11.8;0;57;13;64
2017;1;27;11;12;0;60;15;65
2017;1;27;12;12.8;0;37;15;57
2017;1;27;13;12.9;0;105;17;56
2017;1;27;14;12.7;0;43;12;57
2017;1;27;15;12.3;0;21;12;59
2017;1;27;16;12.2;0;3;11;59
2017;1;27;17;12.1;0;0;8;58
2017;1;27;18;12.4;0;0;8;57
2017;1;27;19;12.1;0;0;10;59
2017;1;27;20;11.9;0;0;13;60
2017;1;27;21;12;0;0;9;60
2017;1;27;22;12.3;0;0;12;59
2017;1;27;23;11.9;0;0;10;61
2017;1;28;0;12;0;0;7;61
2017;1;28;1;12;0;0;8;63
