Year;Month;Day;Tmin;Tmax;Tmean;Rain;Radiation;Humidity;UN;UX;ETPP;Wind
1991;10;13;7.7;15.5;11.6;0;660;92.5;85;100;0.8;0.7
1991;10;14;6.2;15.7;10.9;5;700;91;82;100;0.7;0.6
1991;10;15;6.5;16.6;11.6;0;900;85.5;71;100;0.8;0.4
1991;10;16;6.6;16.5;11.6;1;660;88;76;100;0.8;2.1
1991;10;17;10.6;13;11.8;5;210;86;72;100;0.9;3.8
1991;10;18;6.8;11.5;9.1;0.5;940;76;57;95;1.3;3
1991;10;19;4.2;8.7;6.4;3.5;510;85;73;97;0.8;2.4
1991;10;20;3.7;7.2;5.4;1;210;89;82;96;0.4;3
1991;10;21;4.7;8.7;6.7;0;470;85;74;96;0.9;3.2
1991;10;22;1.4;9.5;5.4;0;1140;75;56;94;1;2.7
1991;10;23;-0.5;10.7;5.1;0;950;83;68;98;0.6;2.1
1991;10;24;4.5;11.8;8.1;0;890;80.5;63;98;0.8;2.4
1991;10;25;2;12.3;7.2;0;960;85;70;100;0.6;0.7
1991;10;26;1.4;9.1;5.2;0;490;95;90;100;0.3;0.8
1991;10;27;4.3;11;7.7;0.5;370;90;80;100;0.3;0.9
1991;10;28;8.9;13.9;11.4;0;540;89;78;100;0.6;1.1
1991;10;29;6.7;13.1;9.9;0;790;90;80;100;0.5;1.3
1991;10;30;3.2;8.2;5.7;5.5;130;97;94;100;0;1.3
1991;10;31;3.5;11.6;7.6;0;550;94.5;89;100;0.4;0.7
1991;11;1;2.4;14.2;8.3;2.5;660;88;76;100;0.4;2.5
1991;11;2;7.9;12.1;10;5;300;92;84;100;0.3;3.7
1991;11;3;9.9;16.8;13.3;15.5;450;80.5;61;100;1.1;4.8
1991;11;4;5.1;11.7;8.4;2.5;430;83;68;98;0.9;4.4
1991;11;5;3.9;8.4;6.1;11;300;91;82;100;0.6;2.6
1991;11;6;2.6;7;4.8;0;300;85;70;100;0.6;2.4
1991;11;7;1.4;7.5;4.4;0.5;160;96;92;100;0.1;4
1991;11;8;5.8;10.3;8.1;2;300;95.5;91;100;0.2;3.6
1991;11;9;3.1;9.7;6.4;1;410;90;80;100;0.3;2.7
1991;11;10;0.2;7.9;4.1;0;740;81.5;63;100;0.2;0.7
1991;11;11;-1.5;8.3;3.4;2.5;580;81;62;100;0.3;2.2
