Year	Month	Day	Tmin	Tmax	Radiation	Rain	Humidity	Wind	UN	UX	-CO2	ETPP
1991	8	10	15.1	28.6	2470	0	54	2.7	25	83	-999	5.7
1991	8	11	15	31.7	2430	0	68	1.2	39	97	-999	5
1991	8	12	17.9	31.4	2170	0	63	2.1	34	92	-999	5.3
1991	8	13	13.6	28.8	2220	0	66.5	1.6	37	96	-999	4.5
1991	8	14	13.5	29.1	2140	0	58.5	1.4	27	90	-999	4.4
1991	8	15	14.8	30.2	2050	0	58.5	1.3	32	85	-999	4.4
1991	8	16	15.8	28.8	2400	0	55	2.2	19	91	-999	5.4
1991	8	17	13.8	28.1	1730	0	63	2	37	89	-999	4.1
1991	8	18	12.2	24.1	2170	0	61.5	2.2	31	92	-999	4.4
1991	8	19	11.5	24.5	2370	0	51	2.4	24	78	-999	4.8
1991	8	20	9.7	26.9	2310	0	51	1.7	24	78	-999	4.4
1991	8	21	11.6	29.8	2320	0	50.5	1.4	23	78	-999	4.6
1991	8	22	11.4	30.5	1560	23.5	66	2.6	32	100	-999	3.9
1991	8	23	16.1	24.7	1770	0	78.5	1.6	58	99	-999	3.5
1991	8	24	15.3	26	1700	0	70	1.7	45	95	-999	3.7
1991	8	25	15.8	28.1	2090	0	59.5	2.7	37	82	-999	4.9
1991	8	26	14.7	29.1	2190	0	56.5	2.3	30	83	-999	4.8
1991	8	27	14	27.4	2230	0	55.5	3.3	33	78	-999	5.2
1991	8	28	14.4	26.9	2140	0	50.5	3.1	29	72	-999	5.1
1991	8	29	13.6	26.6	2140	0	52	3.5	29	75	-999	5.1
1991	8	30	11.9	27.1	2210	0	44.5	2.6	22	67	-999	4.8
1991	8	31	12.4	30.2	1990	0	57	1.3	36	78	-999	4
1991	9	1	15.9	21.2	410	5	85	2.1	70	100	-999	1.3
1991	9	2	14.8	23	1410	0	82	0.9	64	100	-999	2.5
1991	9	3	12.7	27.8	1990	0	69.5	1.1	39	100	-999	3.5
1991	9	4	12.9	29.1	1940	0	60	1.3	30	90	-999	3.8
1991	9	5	12.7	28.9	1870	0	57.5	1.2	29	86	-999	3.7
1991	9	6	13.3	25.7	1950	0	60	3.1	38	82	-999	4.3
1991	9	7	10.5	21.6	2040	0	58	4	33	83	-999	4.4
1991	9	8	10	23.6	2100	0	53	3.6	30	76	-999	4.4
1991	9	9	9	26	1980	0	56.5	1.6	28	85	-999	3.5
1991	9	10	9.1	26.7	1320	1.5	63	2	40	86	-999	2.8
1991	9	11	15.8	26.2	1340	7.5	74	2.5	51	97	-999	3
1991	9	12	15.4	19.9	690	0	91.5	2.4	83	100	-999	1.5
1991	9	13	13.5	22.5	1370	0	74	2.6	55	93	-999	2.9
1991	9	14	9.8	22.5	1740	0	77	1.5	54	100	-999	2.6
