year	month	day	tmin	tmean	tmax	radiation	rain	UM	wind	UN	UX	CO2	ETP
2017	10	16	-0.2	6.4	13	1509	0	54	1.9	32	81	-999	1.6
2017	10	17	6.2	10.75	15.3	1467	0	55	2.6	38	70	-999	2.2
2017	10	18	1.2	8.05	14.9	1463	0	66	1.4	27	93	-999	1.4
2017	10	19	-0.8	7.7	16.2	1377	0	69	3.5	33	94	-999	1.7
2017	10	20	11.8	16.55	21.3	835	0	72	5.8	55	84	-999	2.7
2017	10	21	11.5	13.1	14.7	362	2	86	2.5	70	97	-999	1.2
2017	10	22	7.5	10.3	13.1	309	0.5	88	2.8	78	97	-999	0.5
2017	10	23	9.6	13.5	17.4	670	1.5	84	1.7	70	95	-999	1
2017	10	24	11.9	17.35	22.8	672	1.5	88	1.9	65	96	-999	1
2017	10	25	16.7	17.3	17.9	329	0.5	92	1.6	79	98	-999	0.9
2017	10	26	9.9	14.85	19.8	1265	0.5	82	0.8	48	100	-999	1.3
2017	10	27	3.9	12.95	22	1290	0	74	2.1	32	99	-999	1.5
2017	10	28	5.9	14.6	23.3	1158	0	79	1.2	46	99	-999	1.3
2017	10	29	9.3	17.05	24.8	1095	0.5	82	0.8	40	100	-999	1.4
2017	10	30	6.6	16.1	25.6	1119	0	72	0.9	41	98	-999	1.3
2017	10	31	11	14.8	18.6	381	0	90	0.8	76	99	-999	0.7
2017	11	1	8.6	14.05	19.5	739	14.5	86	2.8	67	100	-999	1.1
2017	11	2	9.2	11.75	14.3	571	6.5	80	3.4	64	97	-999	1.1
2017	11	3	11.1	13.3	15.5	414	4	83	3.5	67	94	-999	1
2017	11	4	9.9	11.85	13.8	487	8.5	81	3.1	73	93	-999	1.2
2017	11	5	8.3	10.2	12.1	492	1.5	78	3.2	62	85	-999	1.3
2017	11	6	6.8	9.7	12.6	454	1	82	1.5	63	92	-999	0.8
2017	11	7	6.9	10.25	13.6	497	11.5	84	2.9	67	98	-999	1
2017	11	8	7	8.55	10.1	456	4	84	3.6	72	91	-999	1
2017	11	9	6.9	8.2	9.5	534	0	77	4	67	90	-999	1.2
2017	11	10	5.8	7.45	9.1	337	0	78	1.3	60	90	-999	0.8
2017	11	11	4.8	9.8	14.8	183	13.5	91	1.4	78	99	-999	0.4
2017	11	12	9.5	14.45	19.4	832	0	85	1.4	64	97	-999	0.8
2017	11	13	10.5	13.45	16.4	655	0.5	87	5.2	77	97	-999	1.1
2017	11	14	13.3	16.1	18.9	643	0	83	3	69	96	-999	1.4
2017	11	15	8	13	18	639	0	88	3.7	75	98	-999	0.6
2017	11	16	13.8	16.5	19.2	874	0	83	3.9	69	92	-999	1.3
2017	11	17	13.9	16.75	19.6	738	0	82	4.4	61	91	-999	1.7
2017	11	18	11.8	13.95	16.1	426	0	87	0.7	70	97	-999	0.7
2017	11	19	8.7	12.75	16.8	606	0	85	4.8	75	98	-999	0.7
2017	11	20	13.6	15.8	18	776	0	79	5	65	87	-999	1.6
2017	11	21	13.7	15.7	17.7	786	0	81	5.5	71	89	-999	1.5
2017	11	22	11.1	13.45	15.8	423	0	78	1.3	59	94	-999	0.9
2017	11	23	8.3	12.75	17.2	590	0	65	2.3	50	88	-999	1.1
2017	11	24	9.2	13.35	17.5	851	0	70	1.4	49	92	-999	0.8
2017	11	25	5.6	10.75	15.9	652	0	77	3	60	92	-999	0.7
2017	11	26	8.6	11.8	15	599	0	82	0.7	63	93	-999	0.5
2017	11	27	6.9	10.3	13.7	465	0	79	1.4	62	92	-999	0.6
2017	11	28	2.9	8.75	14.6	707	0.5	78	2.1	51	95	-999	0.5
2017	11	29	7.3	9.35	11.4	227	5	84	2.2	68	95	-999	0.8
2017	11	30	5.2	7.05	8.9	427	1.5	82	3.5	70	92	-999	0.8
2017	12	1	5.7	7.3	8.9	394	0.5	80	2.8	65	94	-999	0.8
2017	12	2	3.6	8.75	13.9	793	0	84	3.2	74	94	-999	0.4
2017	12	3	8.3	10.15	12	325	13.5	87	2.4	82	93	-999	0.6
2017	12	4	6.7	8.4	10.1	102	9.5	90	2.6	84	97	-999	0.4
2017	12	5	4.1	9.25	14.4	487	0.5	91	0.9	73	99	-999	0.2
2017	12	6	9	11.8	14.6	544	0	84	3.6	74	96	-999	0.6
2017	12	7	9.9	12.2	14.5	418	0.5	89	2.3	81	96	-999	0.5
2017	12	8	9.2	11	12.8	350	2	90	1.3	77	98	-999	0.4
